Article,English_Identity
Constable_2020_CE Exp 1,"Self, Stranger"
Constable_2020_CE Exp 2,"Self, Stranger"
Qian_2019_QJEP Exp 1,"Familiar, Self, Stranger"
Qian_2019_QJEP Exp 2,"Self, Familiar"
Schaefer_2019_CP Exp 1,"Acquaintance, Self, Mother, none"
Schaefer_2019_CP Exp 3,"Acquaintance, Self, Mother"
Wozniak_2018_PLOS Exp 1,"Friend, Stranger, Self"
Wozniak_2018_PLOS Exp 2,"Friend, Stranger, Self"
Golubickis_2021_AP Exp 1,"Friend, Self, Stranger"
Golubickis_2021_AP Exp 2,"friend, self, stranger"
Mayan Navon_2021 Exp 1,"Friend, Self, Stranger"
Mayan Navon_2021 Exp 2,"Close, Father, Stranger"
Mayan Navon_2021 Exp 3,"Father, Self, Stranger"
Mayan Navon_2021 Exp 4,"Friend, Self, Stranger"
Svensson_2021_PR Exp 1,"Friend, Self"
Svensson_2021_PR Exp 2,"Friend, Self"
Svensson_2021_PR Exp 3,"Friend, Self"
Yang Xu_2021_CP Exp 1,"Friend, Self, Stranger"
Hu_2023_PA_Exp1,"Self, Stranger"
Constable_2019_EPHPP_Exp1,"Self, They, We, You"
Constable_2019_EPHPP_Exp2,"Self, They, We, You"
Constable_2019_EPHPP_Exp3,"Self, They, We, You"
Constable_2019_EPHPP_Exp4,"Person1, Person2, Stranger, StrangerTeam, Team"
Vicovaro_2022_Exp1,"Self, Stranger"
Vicovaro_2022_Exp2,"Self, Stranger"
Perrykkad_2022_BMC_Exp 1,"Friend, Stranger, You"
Hu_2020_CP,"Other, Self"
Wozniak_2022_PR_Exp 1,"Friend, None, Self"
Wozniak_2022_PR_Exp 2,"Friend, None, Self"
Wozniak_2022_PR_Exp 3,"Friend, None, Self"
Haciahmet_2023_Psy,"Self, Stranger"
Sui_2023_CC,"Friend, Self, Stranger"
Hobbs_2023_PM,"Friend, Self, Stranger"
Mcivor_2020_EJN,"Other, Self"
Liang_2021_HBM,"Friend, Self, Stranger"
Kolvoort_2020_HBM,"Friend, Stranger, Self"
Liu_2023_CP,"Stranger, Self"
Orellana-Corrales_2021_EP,"Stranger, Self"
Orellana-Corrales_2021_Exp2,"Self, Stranger"
Orellana-Corrales_2021_Exp3,"Stranger, Self"
Amodeo_2024_CABN,"Friend, Self, Stranger"
Zhang_2023_NI,"Self, Stranger"
Feldborg_2021_ERPH,"Self, Friend, Stranger"
Martinez-Perez_2024_CC,"Friend, Stranger, Self"
Wang_2016_EPHPP,"Self, Friend, Stranger"
Sui_2014,"Friend, Self, Stranger"
Sui_2015,"Friend, Self, Stranger"
Sui_2015,"Friend, Self, Stranger"
