"Article","Experiment","Num_Subjects"
"Amodeo_2024_CABN","Exp1",67
"Constable_2019_EPHPP","Exp1",28
"Constable_2019_EPHPP","Exp2",28
"Constable_2019_EPHPP","Exp3",28
"Constable_2019_EPHPP","Exp4",20
"Constable_2020_CE","Exp1",56
"Constable_2020_CE","Exp2",56
"Dalmaso_2024_CC","Exp1",40
"Dalmaso_2024_CC","Exp2",40
"Feldborg_2021_ERPH","Exp1",102
"Haciahmet_2023_Psy","Exp1",40
"Hu_2023","Exp1",20
"Kolvoort_2020_HBM","Exp1",31
"Liang_2021_HBM","Exp1",109
"Liu_2023_CP","Exp1",299
"Martinez-Perez_2024_CC","Exp2",32
"Navon_2021","Exp1",13
"Navon_2021","Exp2",27
"Navon_2021","Exp3",28
"Navon_2021","Exp4",27
"Perrykkad_2022_BMC","Exp1",334
"Qian_2019_QJEP","Exp1",24
"Qian_2019_QJEP","Exp2",25
"Schaefer_2019_CP","Exp1",32
"Schaefer_2019_CP","Exp3",35
"Sui_2014","Exp1",24
"Sui_2015","Exp1",20
"Sui_2015","Exp2",21
"Sui_2023_CC","Exp1",20
"Vicovaro_2022_EPHPP","Exp1",30
"Vicovaro_2022_EPHPP","Exp2",48
"Wozniak_2018_PLOS","Exp1",18
"Wozniak_2018_PLOS","Exp2",18
"Wozniak_2022_PR","Exp1",18
"Wozniak_2022_PR","Exp2",18
"Wozniak_2022_PR","Exp3",18
"Xu_2021_CP","Exp1",105
"Zhang_2023_NI","Exp1",341
NA,"Exp1",30
NA,"Exp2",48
NA,NA,44
