Participant,SelfD,SelfB,SelfA,SelfBPPD,SelfC,TheyD,TheyB,TheyA,TheyBPPD,TheyC,WeD,WeB,WeA,WeBPPD,WeC,YouD,YouB,YouA,YouBPPD,YouC
1,4.148574871,1.802924738,1,NA,0.142075344,2.906157506,1.149717734,0.970588235,2.64E-16,0.048007193,3.682898163,0.715859812,0.993055556,-1,-0.09076301,3.829721174,3.172974036,0.993055556,1,0.301502192
2,3.433298038,0.477069892,0.986111111,-1,-0.215563073,2.982559814,2.087943544,0.970995671,0.47761194,0.24682812,3.829721174,3.172974036,0.993055556,1,0.301502192,3.155757632,1.72519108,0.978361345,0.32038835,0.172807255
3,3.155757632,1.72519108,0.978361345,0.32038835,0.172807255,3.829721174,3.172974036,0.993055556,1,0.301502192,3.114444341,0.839597099,0.978361345,-0.32038835,-0.056136224,2.995137858,2.134261607,0.970995671,0.47761194,0.253117142
4,1.86064107,0.714798429,0.901785714,-0.272727273,-0.180451081,2.051846147,0.840216102,0.919791667,-0.168831169,-0.084848543,2.564956191,1.102450926,0.954545455,2.73E-16,0.038026309,2.069108503,0.46457117,0.915305011,-0.562700965,-0.370517309
5,4.148574871,1.802924738,1,NA,0.142075344,3.364044466,1.25984438,0.985714286,2.57E-16,0.068663838,3.80264168,3.313455521,0.979166667,1,0.315041939,3.816405795,3.241587435,0.986111111,1,0.308159882
6,3.364044466,1.25984438,0.985714286,2.57E-16,0.068663838,2.745143954,2.823501042,0.956221198,0.631578947,0.378114094,2.906157506,1.149717734,0.970588235,2.64E-16,0.048007193,2.314962287,1.45847694,0.937927664,0.220472441,0.16302326
7,2.861576532,0.246263462,0.948809524,-0.674418605,-0.489713736,2.151816928,1.692701349,0.904040404,0.421052632,0.24459594,2.936019615,0.264867399,0.956221198,-0.631578947,-0.452492194,2.35846058,2.06703938,0.931288032,0.498154982,0.307877663
8,2.611857563,1.664829501,0.954963235,0.306122449,0.195157165,3.210820662,7.111112802,0.965277778,1,0.610952448,3.62143434,4.344970372,0.986111111,1,0.405645609,1.845745882,1.266414451,0.900444939,0.134078212,0.127964333
9,3.829721174,3.172974036,0.993055556,1,0.301502192,3.819169045,3.0998002,0.993055556,1,0.296226128,3.155757632,1.72519108,0.978361345,0.32038835,0.172807255,2.848879643,2.443919161,0.963616071,0.570552147,0.313668205
10,3.252716496,0.369776746,0.979166667,-1,-0.305853844,1.9221899,1.188273945,0.900444939,0.134078212,0.089742324,2.210751291,1.608973149,0.929545455,0.290322581,0.215128758,2.848879643,2.443919161,0.963616071,0.570552147,0.313668205
11,2.819121526,0.263247835,0.928679435,-0.09540636,-0.473430939,0.953257775,1.058825786,0.736721612,0.095652174,0.059963366,2.541665676,0.226137322,0.879761905,-0.108910891,-0.584897085,1.34798992,1.016226308,0.79697205,0.143403442,0.011940793
12,2.154941014,0.493633991,0.923319328,-0.534246575,-0.327601053,3.338151042,1.259155088,0.978361345,0.32038835,0.069032506,3.090919813,0.302576848,0.972222222,-1,-0.386752185,2.145021603,4.283200901,0.903869048,0.783281734,0.67817527
13,2.848879643,2.443919161,0.963616071,0.570552147,0.313668205,2.160971272,1.57134262,0.921107628,0.344370861,0.20913301,2.210751291,1.608973149,0.929545455,0.290322581,0.215128758,1.848787255,0.569709656,0.892650463,-0.309973046,-0.304322967
14,4.148574871,1.802924738,1,NA,0.142075344,3.252716496,0.369776746,0.979166667,-1,-0.305853844,2.995137858,2.134261607,0.970995671,0.47761194,0.253117142,2.431276021,1.290408904,0.94625947,0.127753304,0.104866394
15,2.210751291,1.608973149,0.929545455,0.290322581,0.215128758,2.08607302,0.656937119,0.921107628,-0.344370861,-0.201415277,1.831321418,1.047640901,0.9,-9.99E-17,0.025413822,2.611857563,1.664829501,0.954963235,0.306122449,0.195157165
16,3.433298038,0.477069892,0.986111111,-1,-0.215563073,1.797912515,1.642597372,0.892650463,0.309973046,0.276030534,2.403159508,0.902101414,0.94625947,-0.127753304,-0.042872033,1.941084161,1.168662261,0.909946237,0.074626866,0.080295193
17,2.314962287,1.45847694,0.937927664,0.220472441,0.16302326,2.161608891,0.937276168,0.928679435,-0.09540636,-0.029967171,2.246692794,0.531023026,0.931288032,-0.498154982,-0.281725163,2.933862799,0.650771489,0.970995671,-0.47761194,-0.146426995
18,3.404863444,0.457320518,0.986111111,-1,-0.22978037,2.549186425,0.744223622,0.94625947,-0.127753304,-0.115885491,3.570303149,4.318955383,0.972222222,1,0.409772925,2.920547419,0.664843978,0.962789661,-0.185628743,-0.139769306
19,3.829721174,3.172974036,0.993055556,1,0.301502192,2.181428089,4.105154658,0.903869048,0.783281734,0.647393982,3.350729087,1.287087655,0.978361345,0.32038835,0.075321528,3.155757632,1.72519108,0.978361345,0.32038835,0.172807255
20,2.43857179,0.635685279,0.947106262,-0.390134529,-0.185785665,3.114444341,0.839597099,0.978361345,-0.32038835,-0.056136224,4.148574871,1.802924738,1,NA,0.142075344,2.314962287,1.45847694,0.937927664,0.220472441,0.16302326
21,3.364044466,1.25984438,0.985714286,2.57E-16,0.068663838,2.577616283,1.7283561,0.939215686,0.451612903,0.212277805,2.710983108,0.909509739,0.954545455,2.73E-16,-0.03498715,3.155757632,1.72519108,0.978361345,0.32038835,0.172807255
22,2.285758409,1.076150357,0.9375,2.11E-16,0.032107588,2.314962287,1.45847694,0.937927664,0.220472441,0.16302326,1.507513592,1.108702175,0.857598978,0.089686099,0.06845054,1.44316313,1.336754213,0.848333333,0.208791209,0.201116866
23,3.433298038,0.477069892,0.986111111,-1,-0.215563073,1.916167152,0.770772834,0.900444939,-0.134078212,-0.13587624,1.57729939,0.72280115,0.871277916,-0.253012048,-0.205808188,2.169444675,1.216312499,0.928679435,0.09540636,0.090264454
24,3.62143434,4.344970372,0.986111111,1,0.405645609,3.460814566,5.375232666,0.979166667,1,0.485955496,2.564956191,1.102450926,0.954545455,2.73E-16,0.038026309,2.710983108,0.909509739,0.954545455,2.73E-16,-0.03498715
25,2.906157506,1.149717734,0.970588235,2.64E-16,0.048007193,1.647377093,1.21334254,0.879761905,0.108910891,0.117385984,2.026806967,1.863458715,0.912608225,0.386996904,0.307100921,2.314962287,1.45847694,0.937927664,0.220472441,0.16302326
26,3.62143434,4.344970372,0.986111111,1,0.405645609,2.906157506,1.149717734,0.970588235,2.64E-16,0.048007193,2.995137858,2.134261607,0.970995671,0.47761194,0.253117142,2.906157506,1.149717734,0.970588235,2.64E-16,0.048007193
27,2.246692794,0.531023026,0.931288032,-0.498154982,-0.281725163,0.895848095,1.190426189,0.768097643,0.117967332,0.194576945,1.717607039,1.115994963,0.889942529,0.060052219,0.063894912,1.9221899,1.188273945,0.900444939,0.134078212,0.089742324
28,3.107198884,0.308379287,0.972222222,-1,-0.37861265,3.62143434,4.344970372,0.986111111,1,0.405645609,3.310322595,6.409350537,0.965277778,1,0.561201482,2.861457688,2.498134037,0.963616071,0.570552147,0.319957227
